,POOL_NAME,POOL_ADDRESS,TOKEN1_NAME,TOKEN2_NAME,TOKEN1_ADDRESS,TOKEN2_ADDRESS,TOKEN1_DECIMALS,TOKEN2_DECIMALS
0,RTO/WBNB,0x136a13f3ce23398719933232827b4b2f95af0969,RTO,WBNB,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,9,18
1,MUFC/WBNB,0xfe94d715bb75ee343b70e687a44d2efda1f13b64,MUFC,WBNB,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,9,18
2,GERA/BUSD,0x9e6582d581ca6db04efd7e172c068bc81ee0a3f5,GERA,BUSD,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,9,18
3,META/WBNB,0xba1b731a66f08300d8c893e23f29344f4a187c3d,META,WBNB,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,9,18
4,BABBC/BUSD,0x1f4d52ba2b589044c1e2c294f3579f00c0db609b,BABBC,BUSD,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,9,18
5,EAGLE/WBNB,0x17c48af9824970dc91eb12e70a5c2caf25370f47,EAGLE,WBNB,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,9,18
6,WBNB/EAR,0xf0282b32cc09c6b46f223979df711d73d9402025,WBNB,EAR,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,9,18
7,SUSHI/WBNB,0x96337674d5545f357ba353aaa6312d614dcf20cc,SUSHI,WBNB,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,9,18
8,SHIRO/WBNB,0xfc37aab2b50810722191a7835882b214ead05dc3,SHIRO,WBNB,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,9,18
9,WBNB/ULNT,0x4760d79967a397298ec9ff65cec5ee034ee63fef,WBNB,ULNT,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,9,18
10,WBNB/BUSD,0xdc558d64c29721d74c4456cfb4363a6e6660a9bb,WBNB,BUSD,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18
11,WBNB/HUH,0x938282d4002f6e1a87325449a2e64096b2594494,WBNB,HUH,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18
12,ETH/WBNB,0x6da1ffd9d24e1753d2f46ca53146116c7210b3c5,ETH,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18
13,STRM/BUSD,0xa7973cbf8f1693a1a8bb0ecd4b7d7d1026a0dcad,STRM,BUSD,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18
14,WHIRL/WBNB,0x5deea01e8e8677d4dd82c816bcd9e8dfe1f66fb5,WHIRL,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18
15,ETH/HUH,0xa317b66b5a9eb1a9b42e04d6319450141c473cf8,ETH,HUH,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18
16,USDC/WBNB,0xc7632b7b2d768bbb30a404e13e1de48d1439ec21,USDC,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18
17,BTEC/WBNB,0xe5f12d6436b629c7ce1762bc407df7414dbcdfc7,BTEC,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18
18,PSR/BUSD,0x9da5d9736ef50803aefdad496e52bd74f414a487,PSR,BUSD,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18
19,GRIMACE/USDC,0x6d41ee92b1aa6e3523419514904849d665eae80d,GRIMACE,USDC,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18
20,WBNB/HASH,0xb17ebd66542070432654d5cd3491e0b4a86e0f63,WBNB,HASH,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xeb1112ac78d537853150e2a07e8b765e29d3f019,18,18
21,GSTRM/BUSD,0x54b41b0666b216763e510e84748ed0e7e8e18b16,GSTRM,BUSD,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xeb1112ac78d537853150e2a07e8b765e29d3f019,18,18
22,SUSHI/HASH,0xf5ff6da3738b399c4d29aa3ad87128ceb62b74ba,SUSHI,HASH,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xeb1112ac78d537853150e2a07e8b765e29d3f019,18,18
23,vsga.cc/WBNB,0x9056424066c2918a629439157e63ee09f013fa0c,vsga.cc,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xeb1112ac78d537853150e2a07e8b765e29d3f019,18,18
