TOKEN_ADDRESS,DECIMALS
0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,9
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18
0x2170ed0880ac9a755fd29b2688956bd959f933f8,18
0x5d93211c6c3ebd63b4b2e12a8c06ab7627347a26,8
0x0cf8e180350253271f4b917ccfb0accc4862f262,18
0xbf96a921a95165034d7c6469b0c8670e81c654eb,9
0xa1faa113cbe53436df28ff0aee54275c13b40975,18
0x8fba8c1f92210f24fb277b588541ac1952e1aac8,9
0x1796ae0b0fa4862485106a0de9b654efe301d0b2,18
0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18
0x681832a326831ebd0315c4953864b7985807cbbc,18
0xc7ca632667e6ddf7eae11778ea6a08ca28c8aac6,18
0x18a0dc43863186c0878fc29af99c4f3079aa8c98,18
0xdfd9e2a17596cad6295ecffda42d9b6f63f7b5d5,18
0x55d398326f99059ff775485246999027b3197955,18
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18
0xafc4a3d0fdd8b1cc6704ea1db3a11ae030ca6f74,9
0x136fa48f26b7748626219d4f418f290e386e68d9,18
0x1aaff265bcad17e6bcf508e1a60699a4c08affe6,18
0xade6dd2f7d3b45e726f74bb50b65bef86b2f5b17,18
0x07af67b392b7a202fad8e0fbc64c34f33102165b,9
0xa57ac35ce91ee92caefaa8dc04140c8e232c2e50,9
0x1ee241a736d2ca587b09333989ded271a3ebe213,9
0x9e5a4e0585ff34acb89f4ef161b25ebe3977e35c,18
0x1337ace33c2b3fc17d85f33dbd0ed73a896148b5,9
0x8444bd389e5db8ceaad7b95466a0b8a1939af1a9,18
0x5bfdb970d2a7eb1c69af42357b28dcb469965c91,18
0x994abfa01565232fac6a5bb5b8ed8d52a79f508c,18
0x1fbb6ca220dcbe732f796fa9b13dd21cd654511b,9
0x947950bcc74888a40ffa2593c5798f11fc9124c4,18
0x31471e0791fcdbe82fbf4c44943255e923f1b794,18
0x08ba0619b1e7a582e0bce5bbe9843322c954c340,18
0xae6eda9aa67122d248e709d67815a3ffa20ba317,18
0x67fa5b3e9f15b793caae1dc2996de029ca45591c,9
0x0b8f24bdbd2536a3a177538e45781e681c9ab040,18
0x6abbc38253f280d09582ac745883a5f34f59ebaa,9
0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18
0x5488da908871b9ca49f6c2781c0d006ee7e2eecb,9
0x056959eda5e2a2281a5261265c4391e34f8ec329,18
0x719ea43ae552fc21acb7fc48a2f870c3dbbc93a2,18
0x2fb6a60bdf8a86c92692f57d5175985b33d64e76,8
0xc19f66af5d06504e4193fd9486d3b65b0c320d14,8
0x9001fd53504f7bf253296cffadf5b6030cd61abb,18
0x99bba177b4803bb482405470bdac57f5158e8d60,18
0x927f8de204766e011e66abef6d3ea1db33d20cfa,18
0x96fca85cb314c06b2a3ef3ec2f06079b53844387,18
0x059611daedba5fe0875ac7c76d7ce47ffe5c39c5,18
0x14f712667dfd0369ca4ad6b4aa846c1fe244688a,0
0x3cfc0c163771faba40ad90d8a19dfbbf0c5fa8bf,0
0x198c0917bb93600122ae2e97c1c0116eeebbc485,18
0x5025f39e3aa0839a76a5b5cdd030d1883e5ca964,10
0x8b848e8ddc276d9b032c23c50791c6eca45f65c3,18
0x6c77bb19c69d66bea9e3cdaea108a76ea8d2fd2a,18
0x728c5bac3c3e370e372fc4671f9ef6916b814d8b,18
0x1ecba841c0c4c9981bb9c5127fef9d7b9ff106c2,8
0x9f800446066a940abbbaba96130e8bc2f0193afa,8
0x440ce77ed8b992ea461a1b0d16bdca48ce333960,9
0x3791d810cf6335f0029a71121d7889c6814414d5,9
0x87b9b3cd3a5c8ad3eb1611a8b3f12478a6b3ad43,18
0x7c7c4de077fa6862f0dd227d2a8cb484abc51b19,18
0x0b33542240d6fa323c796749f6d6869fdb7f13ca,18
0x1cdd4fb11dfde0e7641f210b3e08c13505feb223,18
0x2f86a794fee552e98d46b33b135ff9126d6e136e,9
0xae91c3a83fe9b4be2423a98260c66436070244a9,18
0x7c270c9a7f2b4b47804cb07c0f4c699b75a62bf0,18
0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,18
0xba948199a068d4e8816f69c5266943b5134dc785,18
0x97732cff747158d79fadaec7ffe73f96c4aabdca,10
0x477bc8d23c634c154061869478bce96be6045d12,18
0x49fa086baa2668bc1654fe0afd1791d68c0b7aa6,18
0x8182dc097d5356ea4fa7905d6bd098c13330b1c0,18
0x2e3e406ac259bd628d0fb54a427b524831efe9fb,18
0x46d502fac9aea7c5bc7b13c8ec9d02378c33d36f,0
0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18
0x5a3010d4d8d3b5fb49f8b6e57fb9e48063f16700,18
0x0086f349f604d315280db3c7920be55439aafc5e,18
0x251490ccdb5780a7298bc800ad09758080e395fe,18
0xadac8dbcf127b4843721af9afc40d9e7a07dc1b3,9
0xdb8d30b74bf098af214e862c90e647bbb1fcc58c,18
0x51908c69cb18606b7a6150630f7544a17da8d3a3,8
0xb8e3bb633f7276cc17735d86154e0ad5ec9928c0,18
0x16dcc0ec78e91e868dca64be86aec62bf7c61037,9
0xaa6ad97425e5c30dd9ad88f9cea03f7e109401ed,18
0x36754e0a872fec169a1479312699c82de5a54b33,18
0x4f359c7ca74dd6e9380cacaf28989f3c8ae7e51e,18
0x718f7957a1d69883dba8f3150dfc10ee97617f34,18
0x45808ce43eb2d7685ff0242631f0feb6f3d8701a,18
0x782251c1b5906d8017129e4440bd1c218ce819da,18
0x049d68029688eabf473097a2fc38ef61633a3c7a,6
0x4d1bce7c3d18dac80f8c90b3505afea82ff0a3ff,18
0x94a13f1ee31e2230f94c3acdcaceebc5f251ecd3,18
0x813b0f5f545dc2e957c19492d0c39de3b66ed3ea,18
0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18
0x69047ae8fe8aadd37c3cd0f02322d561445781bf,18
0x6ea4fd26f9e0ba1bcac8519bd7d69296e32f9157,18
0x2bccda627a05d652e375c372e1dff9578f485514,18
0x0471eba86443ae0a25d13c3f6b880dada2c80565,16
0xb7148f2c59430c3a1e728b48610a37fe14ef41d5,8
0x0c870766a255ed3c0ed861231912e522a1f8414d,18
0x99097815ca96194235ddaecbec965493ee2f521d,18
0x0670f6b6a5b256d83d4262075844420d50f0391e,18
0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,18
0x27f7330f4b85b3335e35e8b8825aab21a22813af,18
0x8ba8155ab322fada20df7e08c440048bdfc4ece4,0
0x30dcf96a8a0c742aa1f534fac79e99d320c97901,13
0x83850d97018f665eb746fbb8f18351e977d1b0d6,8
0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3,9
0xaa9ddc73b0853cedec92b4b7b107495d8b06c4ba,9
0x798da1a56c10e4575e2bde0b069fa807d86c8cb9,18
0x145fad68704371b4ca62a44845b46d12f46137e8,18
0x66b3d7d6c3c47db996dc52b94c5f867966b4b157,8
0x23396cf899ca06c4472205fc903bdb4de249d6fc,18
0xde619a9e0eeeaa9f8cd39522ed788234837f3b26,9
0x3760f521b64a0b41c744ede25c466f9f620970aa,18
0x1d7be89e3225e06b5622f36fbc0b0f56f8f885d7,18
0xe9e7cea3dedca5984780bafc599bd69add087d56,18
0xeb1112ac78d537853150e2a07e8b765e29d3f019,18
0xed4888223e94f0b8d731b181dd4b0b00cca77785,18
0xbf5140a22578168fd562dccf235e5d43a02ce9b1,18
0xda387e90b4197251d803ec26654bdd50a3247f9d,18
