,POOL_NAME,POOL_ADDRESS,TOKEN1_ADDRESS,TOKEN2_ADDRESS
0,wMEMO/USDC.e,0xf93c610dd478d2e9fa47aa00ee3b726c6ac1c376,0x0da67235dd5787d67955420c84ca1cecd4e5bb3b,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664
1,sifu/WETH.e,0x783c0eff1112f3c4139dcb661c3fc57ca9ba6f3b,0x237917e8a998b37759c8ee2faa529d60c66c2927,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab
2,DIGITS/DAI.e,0xb44ce3f27d1fc145fd3cbd4f59c32cb9be154b33,0x18e2269f98db2eda3cfc06e6cca384b291e553d9,0xd586e7f844cea2f87f50152665bcbc2c279d8d70
3,MIM/WAVAX,0xcbb424fd93cdec0ef330d8a8c985e8b147f62339,0x130966628846bfd36ff31a822705796e8cb8c18d,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7
4,wMEMO/MIM,0x4d308c46ea9f234ea515cc51f16fba776451cac8,0x0da67235dd5787d67955420c84ca1cecd4e5bb3b,0x130966628846bfd36ff31a822705796e8cb8c18d
5,TIC/USDC.e,0x4cf9dc05c715812fead782dc98de0168029e05c8,0x75739a693459f33b1fbcc02099eea3ebcf150cbe,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664
6,MIM/USDC.e,0x0b212115882252e3640839feacf6cd45a8f419f5,0x130966628846bfd36ff31a822705796e8cb8c18d,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664
7,wMEMO/sifu,0x19a1c50d22ad1dc22726d880c9f578e2902c1d4b,0x0da67235dd5787d67955420c84ca1cecd4e5bb3b,0x237917e8a998b37759c8ee2faa529d60c66c2927
8,sSPELL/SPELL,0xe5cddbfd3a807691967e528f1d6b7f00b1919e6f,0x3ee97d514bbef95a2f110e6b9b73824719030f7a,0xce1bffbd5374dac86a2893119683f4911a2f7814
9,WAVAX/FAE,0x3730c99811fea9ca1dd977ddd6d3b80f8a0bebea,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0xcd1bb91f4eca93217421316480ca7d7c315827e5
10,USDC.e/WAVAX,0x4ed65dab34d5fd4b1eb384432027ce47e90e1185,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7
11,WETH.e/USDC.e,0x669328b7adbcc15da8949faadd78a09ef025c1f8,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664
12,WAVAX/USDC,0x6539bf462f73ff9497054ba261c195da8639ed61,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e
13,USDC.e/USDT.e,0x708c1b2ae45d9f5986bf4fcb0a0120fe0db20dc3,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0xc7198437980c041c805a1edcba50c1ce5db95118
14,wMEMO/WAVAX,0x3e105e5acb4dab409fb365ba72d7793210ae6e59,0x0da67235dd5787d67955420c84ca1cecd4e5bb3b,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7
15,USDC.e/DAI.e,0x459eb852799057912138519eab28c8e0c227c42c,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0xd586e7f844cea2f87f50152665bcbc2c279d8d70
16,MIM/BSGG,0xb599e3cc5e7730865e74d78f2b9b67fdc627b743,0x130966628846bfd36ff31a822705796e8cb8c18d,0x63682bdc5f875e9bf69e201550658492c9763f89
17,AvSTRM/USDC,0x8cd301d1959c5bd1438a33b7ea0cd7b6add3e19d,0x94a7f270cd12545a277e656266aef5e27df3eb28,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e
18,LAND/USDT.e,0x84f9ef2b0183712c861e82b9d30c24c98984e5bd,0x2597dc2c0cfaeb1d6e02d365658e6e31cfc9cff0,0xc7198437980c041c805a1edcba50c1ce5db95118
19,WAVAX/WHIRL,0x5f17338e56bd644c804690fef778b4d6f2a9c0a0,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0xd806a4a473e44578796898a4c546f575d7247b2b
20,WAVAX/MU,0xbf12ca918c7e8cb260f480e74fdb99f5e0de5e8b,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0xd036414fa2bcbb802691491e323bff1348c5f4ba
21,Rex/WAVAX,0x29488375275ebb2dfb09c1e5d6119d677606da7b,0xa33fac40f62b7aa975d8835eaa8a4df8b74161bd,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7
22,JustinBuy/Rex,0x454eb80d24944a3e16fbe567d5e115593ff3703f,0x885748fd6b1011363159b8376236468c4039ac7a,0xa33fac40f62b7aa975d8835eaa8a4df8b74161bd
