,POOL_NAME,POOL_ADDRESS
0,wMEMO/USDC.e,0xf93c610dd478d2e9fa47aa00ee3b726c6ac1c376
1,sifu/WETH.e,0x783c0eff1112f3c4139dcb661c3fc57ca9ba6f3b
2,DIGITS/DAI.e,0xb44ce3f27d1fc145fd3cbd4f59c32cb9be154b33
3,MIM/WAVAX,0xcbb424fd93cdec0ef330d8a8c985e8b147f62339
4,wMEMO/MIM,0x4d308c46ea9f234ea515cc51f16fba776451cac8
5,TIC/USDC.e,0x4cf9dc05c715812fead782dc98de0168029e05c8
6,MIM/USDC.e,0x0b212115882252e3640839feacf6cd45a8f419f5
7,wMEMO/sifu,0x19a1c50d22ad1dc22726d880c9f578e2902c1d4b
8,sSPELL/SPELL,0xe5cddbfd3a807691967e528f1d6b7f00b1919e6f
9,WAVAX/FAE,0x3730c99811fea9ca1dd977ddd6d3b80f8a0bebea
10,USDC.e/WAVAX,0x4ed65dab34d5fd4b1eb384432027ce47e90e1185
11,WETH.e/USDC.e,0x669328b7adbcc15da8949faadd78a09ef025c1f8
12,WAVAX/USDC,0x6539bf462f73ff9497054ba261c195da8639ed61
13,USDC.e/USDT.e,0x708c1b2ae45d9f5986bf4fcb0a0120fe0db20dc3
14,wMEMO/WAVAX,0x3e105e5acb4dab409fb365ba72d7793210ae6e59
15,USDC.e/DAI.e,0x459eb852799057912138519eab28c8e0c227c42c
16,MIM/BSGG,0xb599e3cc5e7730865e74d78f2b9b67fdc627b743
17,AvSTRM/USDC,0x8cd301d1959c5bd1438a33b7ea0cd7b6add3e19d
18,LAND/USDT.e,0x84f9ef2b0183712c861e82b9d30c24c98984e5bd
19,WAVAX/WHIRL,0x5f17338e56bd644c804690fef778b4d6f2a9c0a0
20,WAVAX/MU,0xbf12ca918c7e8cb260f480e74fdb99f5e0de5e8b
21,Rex/WAVAX,0x29488375275ebb2dfb09c1e5d6119d677606da7b
22,JustinBuy/Rex,0x454eb80d24944a3e16fbe567d5e115593ff3703f
23,SUSHI.e/PEFI,0x24f01f3dcdee246567029bce8830a866c9cd2b1e
24,ElonBuy/Rex,0x2709463ca279c8678ecb4ff9cb780fb9b4991ff2
25,WAVAX/USDT.e,0x09657b445df5bf0141e3ef0f5276a329fc01de01
26,OGUC/WAVAX,0x99b214981746a1d99db6d45a4e43b57e0ab4268e
27,SUSHI.e/WAVAX,0x84fe1a84c0448d1dc4199a40fe53db6a49ed6037
28,WAVAX/ETH,0xe5dc9c75d4514a5a7fe370e636560699ba83c702
29,BNB/USDT.e,0xfa694732bd6f00601d4ca779f5380459271e576e
30,MIM/TIME,0x6cb6cb160bd629aaf07d2e51b3a435d909d01dd0
31,NORO/WAVAX,0x6bee00c9c5800d233ff1c2403d4a16a9e9ae792b
32,WETH.e/WAVAX,0x2fde1c280a623950b10b6483b9a0c23549c9b515
33,BNB/WAVAX,0x52e48172c646b81cb35bbb557f531fc4ece58a6c
34,MEMO/WAVAX,0x06553e53dff0f8d8b1f8193904f69554f7644700
35,WAVAX/FRACTION,0x987964f314c9081f5ede4ad4c757f84b2ece1b09
36,MIMIK/WAVAX,0x14479d0e9f5fdcc031094e0e770eee3e0f1f3da1
37,xJOE/WAVAX,0xcc6bd32e6f167f0591c449e5ccbb671e06e0382b
38,WAVAX/SPELL,0x7782ea0303cd51f65ee1eb52770185bbc937c8f8
39,WETH.e/WBTC.e,0x55de93b08c2772d677f1263c3ea91b9d7d4ce79d
40,WAVAX/DSLA,0x2d205b9845dead678a16815a1a8b4380328549af
41,wMEMO/SUSHI.e,0xbdc94029846f1698fd7f61318501689225fd0c3a
42,DAI.e/EGW,0x35e50ada0c215f88840ac48ae1e9c51210e34840
43,YEET/WAVAX,0x234ab6bf95d3ac105eed3b899a7dc256bc882b13
44,WAVAX/TIME,0x204ae948fae55288b39c24fb3132ef69c5ec26f2
45,FWBC/WAVAX,0xc31e215405bf5c858301314e9b664293be3d9886
46,WAVAX/AFRO,0x64e7a80e8781c1c4b852dd9ce34f36c85031349c
47,wMEMO/USDT.e,0x3a642516dcb60300b7558c3c813899e799403ef7
48,WAVAX/ENIAC,0x573d76b5988ff7acecf1e381e1b3589b5ef44a20
49,WBTC.e/WAVAX,0xe1051d42f623a1794d347aebeb2612bed2ffc667
50,FIB/WAVAX,0xe8603f84af197ce4ee0344b9a175853006123602
51,ALIENO/USDT.e,0x96075ccad1de34dcc1cb18de8c46845ea95d89a5
52,GELT/WAVAX,0x869dac7b2317559aa2938b99baf34c36dedcaa52
53,BSGG/WAVAX,0x9e163143f6eedd99388295e9f2b60a71303e0c90
54,NRK/DAI.e,0x790c840b774d8f02ebdad9ddb74331614b535cef
55,MIM/TOKEN,0x97de211811e65998759b51ca6c70074bfbd700a5
56,CDS/WAVAX,0x10b130a529f9c0c1c9dbe92d5fcd590651e9524d
57,WAVAX/ACME,0x3dc6edd88bcee513d083c8cffbd5e811e9b4fcf1
58,SUSHI/WAVAX,0x27da820d8159942a8882d339195094cc6eb35453
59,MIM/SUSHI.e,0xdf347ad511e5cd692e3633fdb623918560e229d0
60,BITDOLLAR/USDT.e,0x36d9e666444beb8ae525d7ba3a9b3ffdfaf0a066
61,TST$/WAVAX,0x7526c534684434f520d40197b708d46086d82d7f
62,LIRA/WAVAX,0x4828c788d97599f7b4224a0e5dfb2106034e5cec
63,WAVAX/DAI.e,0x55cf10bfbc6a9deaeb3c7ec0dd96d3c1179cb948
64,RSD/WAVAX,0x2c3e6df8e27dd19399b5880fdbc302de0bc9cdfb
65,MIM/NRK,0x3bd621ec8e8d44fa2ee63f809c89e1a2ac9dcfe6
66,WHA/WAVAX,0x801074a7d13c007045443cd349b40a659dc3068c
67,HEAL/WAVAX,0xf39aa44bfe0c0168d057c880e6b3be9bc270e05a
68,wMEMO/BSGG,0xc0ced84c67cbb2d49674ccb234397be8d216c3ac
69,COVT/WAVAX,0x0e76b7725ed30675ac9604d0cf4682d447d169d7
70,WAVAX/UNI,0xf272d5d0a633c463e3bf4d14c9fb4704057cd342
71,WAVAX/LINK,0xaec2becb0711b263c665f1bc813c1f53f97c991a
72,WAVAX/USDT,0x47f1c2a9c9027a10c3b13d1c40dd976c5014339b
73,USDC.e/USDC,0xc82c535ac8a665b8a2c1a414a8bb0a3cc7923c77
74,MIM/SPELL,0x37bb7fe11a2620cbf30f2a534a763605920e16fe
75,WAVAX/Rex,0x34371a41b4c236a17ed85689dced682037e69cf5
76,DAWE/WAVAX,0xd312e3dbf9de7fa7e78bb54316f3c396b0793503
77,YSOT/WAVAX,0x4b1a5926c464343b470f1d0a297f1f415096fb5f
78,TURI/USDC.e,0xe29fb1242098d3574aeb733ab0a4357b03b8230c
79,AAVE.e/WAVAX,0x5fbe35bf97f54ec7ca95edbc8dfaeb21514739a7
80,VERS/DAI.e,0x8f2473319c6ab8bfeac00b2fcc8fb7d0091a9423
81,USDT.e/MINDAUGAS,0x2ae44ebd41eb863da65b320ab7b8688c6f43c156
82,LOB/WAVAX,0x1ddcd23da377dcba6a3ee6a48b38c91163dc415d
83,GREEN/WAVAX,0x21fa534b7c81ce348af5af8974509fff431078d4
84,SUSHI.e/BSGG,0x20db83f261dd78f656d47e49f6ba94d05acd9404
85,LOK/WAVAX,0xf7ec52ce066c8285a2fdf62cc5938b555603732b
86,/USDT.e,0x4c55851a051f3ae6f6f327c18fe578e52c5c9cfe
87,WAVAX/LIRA,0x900052a3cd0738c4a48c24777d5899afc4ae6614
88,WETH.e/USDT.e,0x96f08adde31aa73c0134f5647d6dcdaa19faac7d
89,LOVE/WAVAX,0x1b11ca267dbc990f728b0b17b3edbfd92e521b27
90,PNG/WAVAX,0xa1708efd71e516a2d0ebd7ec8d877c02d4d2de6d
91,WAVAX/BRIDGE,0x3f309dd3d9b8448276f7ee768ae22a28d4b27e29
92,wMEMO/SPELL,0x9501a14d772f1aa8aa4fdb042549fe7bef0fd319
93,WAVAX/CRACK,0x7fc59de025072756f5c382b157110f94e960019a
94,MIM/GRAPE,0x509210daeca3fa714702becccba4dffacc8e7ef5
95,SAITAMA/WAVAX,0x9bc78a8c926bbfb54f5d34bdb2f4f517e48b6e13
