,POOL_NAME,POOL_ADDRESS,TOKEN1_ADDRESS,TOKEN2_ADDRESS
0,EKTA v2/USDT,0x373345c3efa3fd836ad1d54afbd3c5eb86e12120,0x45808ce43eb2d7685ff0242631f0feb6f3d8701a,0x55d398326f99059ff775485246999027b3197955
1,NRCH/WBNB,0x8cc8605f2b54852b54a77b7e9711bb1156581ee9,0x69fa8e7f6bf1ca1fb0de61e1366f7412b827cc51,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
2,WBNB/PDT,0x6e688d5ef7b1ebfd4fa091def824936cd2a790c6,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xd822ada09eff45cdd81da4dc21f2993d6a5aac9b
3,ARV/WBNB,0x9f38bf589be2e10ad45ced55afa50d668aeba2ee,0x6679eb24f59dfe111864aec72b443d1da666b360,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
4,WBNB/BW3,0x4511f77d2b513c7390b6e91753f8b3c2e50e45fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xf83faf5011b6746be515ab158820106f47c5a2d5
5,WBNB/ICE,0x51f914a192a97408d991fdddafb8f8537c5ffb0a,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xf16e81dce15b08f326220742020379b855b87df9
6,BFHT/WBNB,0x3540295c69987f92659ec0e3a38d2523212a850f,0x577ad06f635b402fc2724efd6a53a3a0aed3d155,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
7,BITT/WBNB,0x8c48a72af326df23e5c16f8858a66edd56c64a6f,0x518445f0db93863e5e93a7f70617c05afa8048f1,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
8,USDT/WBNB,0x2905817b020fd35d9d09672946362b62766f0d69,0x55d398326f99059ff775485246999027b3197955,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
9,RTO/WBNB,0x136a13f3ce23398719933232827b4b2f95af0969,0x5a341dcf49e161cc73591f02e5f8cde8a29733fb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
10,MUFC/WBNB,0xfe94d715bb75ee343b70e687a44d2efda1f13b64,,
11,GERA/BUSD,0x9e6582d581ca6db04efd7e172c068bc81ee0a3f5,0xde5ea375ffbdc8b25a80fe13d631e8ba0ab4bb02,0xe9e7cea3dedca5984780bafc599bd69add087d56
12,META/WBNB,0xba1b731a66f08300d8c893e23f29344f4a187c3d,,
13,BABBC/BUSD,0x1f4d52ba2b589044c1e2c294f3579f00c0db609b,0xe83ce6bfb580583bd6a62b4be7b34fc25f02910d,0xe9e7cea3dedca5984780bafc599bd69add087d56
14,EAGLE/WBNB,0x17c48af9824970dc91eb12e70a5c2caf25370f47,0x1b8c57a4ca0c51726483fb455c4e6e4625e91c7b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
15,WBNB/EAR,0xf0282b32cc09c6b46f223979df711d73d9402025,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe73536245bc7fdddcd7c54fe4f3bcc1cce7bcd1a
16,SUSHI/WBNB,0x96337674d5545f357ba353aaa6312d614dcf20cc,0x947950bcc74888a40ffa2593c5798f11fc9124c4,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
17,SHIRO/WBNB,0xfc37aab2b50810722191a7835882b214ead05dc3,0x9df604afbf57a4b2bdd5ed2e451f20055804bd18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
18,WBNB/ULNT,0x4760d79967a397298ec9ff65cec5ee034ee63fef,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xdced3101fd9636c0afb81ac311a8b4f4be2240d6
19,WBNB/BUSD,0xdc558d64c29721d74c4456cfb4363a6e6660a9bb,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe9e7cea3dedca5984780bafc599bd69add087d56
20,WBNB/HUH,0x938282d4002f6e1a87325449a2e64096b2594494,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xc15e89f2149bcc0cbd5fb204c9e77fe878f1e9b2
21,ETH/WBNB,0x6da1ffd9d24e1753d2f46ca53146116c7210b3c5,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
22,STRM/BUSD,0xa7973cbf8f1693a1a8bb0ecd4b7d7d1026a0dcad,0xc598275452fa319d75ee5f176fd3b8384925b425,0xe9e7cea3dedca5984780bafc599bd69add087d56
23,WHIRL/WBNB,0x5deea01e8e8677d4dd82c816bcd9e8dfe1f66fb5,0x963fac6d71cddbd717d8d0c2fd06aae5dd6072fc,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
24,ETH/HUH,0xa317b66b5a9eb1a9b42e04d6319450141c473cf8,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0xc15e89f2149bcc0cbd5fb204c9e77fe878f1e9b2
25,USDC/WBNB,0xc7632b7b2d768bbb30a404e13e1de48d1439ec21,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
26,BTEC/WBNB,0xe5f12d6436b629c7ce1762bc407df7414dbcdfc7,0xaf307c4ea25c8d2a7029dc0322396a6b4b00a0fc,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
27,PSR/BUSD,0x9da5d9736ef50803aefdad496e52bd74f414a487,0xb72ba371c900aa68bb9fa473e93cfbe212030fcb,0xe9e7cea3dedca5984780bafc599bd69add087d56
28,GRIMACE/USDC,0x6d41ee92b1aa6e3523419514904849d665eae80d,0x71dd90c2d51f4c611edb08fc1c6b358f88d154f0,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d
29,WBNB/HASH,0xb17ebd66542070432654d5cd3491e0b4a86e0f63,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xeb1112ac78d537853150e2a07e8b765e29d3f019
30,GSTRM/BUSD,0x54b41b0666b216763e510e84748ed0e7e8e18b16,0xa0d2ca44a6880c4703b48b77efd0f9d6166fc9ab,0xe9e7cea3dedca5984780bafc599bd69add087d56
31,SUSHI/HASH,0xf5ff6da3738b399c4d29aa3ad87128ceb62b74ba,0x947950bcc74888a40ffa2593c5798f11fc9124c4,0xeb1112ac78d537853150e2a07e8b765e29d3f019
32,vsga.cc/WBNB,0x9056424066c2918a629439157e63ee09f013fa0c,0x71122b3aadce1ef7bc5bb4a2a644af0b478af548,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
33,$PAWS/WBNB,0x910216e31311c870f83ab0c17464c67958500a2e,0xb67aed4350ef34dbe5cb5a610c6f92574f68106a,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
34,SUSHI/BUSD,0xe0978ef5116084d8a667187f727447b2342cac53,0x947950bcc74888a40ffa2593c5798f11fc9124c4,0xe9e7cea3dedca5984780bafc599bd69add087d56
35,STR/WBNB,0x92668470f7d8cad51c101fd896af2a6f8354f2c8,0x30dcf96a8a0c742aa1f534fac79e99d320c97901,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
36,USDT/STAND,0x743f80ab068ca64b9d7b3a2fc61f435cd4580388,0x55d398326f99059ff775485246999027b3197955,0xd52ac302aade798142c5aa11739fad4f3de39755
37,YUZU/USDT,0xb57bafd26b068d50cf3e63949e391824a7a56792,0x33ee82d2460e14c2681af45c9ebb5b1143a5510c,0x55d398326f99059ff775485246999027b3197955
38,SUSHI/CORD,0xb545f71d7969d23388691f0ecd5d08f15780837b,0x947950bcc74888a40ffa2593c5798f11fc9124c4,0xa3506a4f978862a296b29816c4e65cf1a6f54aaa
39,ETH/BTCC,0x7430d9aac7ddf415fcd3ea5d3182d09e6a0e6a6e,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0xed4888223e94f0b8d731b181dd4b0b00cca77785
40,fUSDT/WBNB,0x0e2410d85340b9706dfbe2680be3ad260b491a12,0x049d68029688eabf473097a2fc38ef61633a3c7a,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
41,ETH/BTCB,0xc06949431e4e88cb50ad4df176dc409ab1c78fe2,0x2170ed0880ac9a755fd29b2688956bd959f933f8,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c
42,WBNB/LUCHOW,0x0390c792056ea02aa09b94fb05e703ebd46f3ec3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe4e8e6878718bfe533702d4a6571eb74d79b0915
43,LPK/WBNB,0xe636f3ebcf3f0a3936ef471b699d42345ad9ad1f,0x9b71b5511998e0798625b8fa74e86d8192de78c1,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
44,CMC/BUSD,0xab94d448947a21b2ea115d6924ee509aa7766d78,0xc3ec94f9b9696bf406caeb0f0c53c6fe438b17fe,0xe9e7cea3dedca5984780bafc599bd69add087d56
45,WBNB/REEF,0x22530cf86986ef15f0a59288d37cc8c50efe3123,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xf21768ccbc73ea5b6fd3c687208a7c2def2d966e
