,POOL_NAME,POOL_ADDRESS
0,EKTA v2/USDT,0x373345c3efa3fd836ad1d54afbd3c5eb86e12120
1,NRCH/WBNB,0x8cc8605f2b54852b54a77b7e9711bb1156581ee9
2,WBNB/PDT,0x6e688d5ef7b1ebfd4fa091def824936cd2a790c6
3,ARV/WBNB,0x9f38bf589be2e10ad45ced55afa50d668aeba2ee
4,WBNB/BW3,0x4511f77d2b513c7390b6e91753f8b3c2e50e45fb
5,WBNB/ICE,0x51f914a192a97408d991fdddafb8f8537c5ffb0a
6,BFHT/WBNB,0x3540295c69987f92659ec0e3a38d2523212a850f
7,BITT/WBNB,0x8c48a72af326df23e5c16f8858a66edd56c64a6f
8,USDT/WBNB,0x2905817b020fd35d9d09672946362b62766f0d69
9,RTO/WBNB,0x136a13f3ce23398719933232827b4b2f95af0969
10,MUFC/WBNB,0xfe94d715bb75ee343b70e687a44d2efda1f13b64
11,GERA/BUSD,0x9e6582d581ca6db04efd7e172c068bc81ee0a3f5
12,META/WBNB,0xba1b731a66f08300d8c893e23f29344f4a187c3d
13,BABBC/BUSD,0x1f4d52ba2b589044c1e2c294f3579f00c0db609b
14,EAGLE/WBNB,0x17c48af9824970dc91eb12e70a5c2caf25370f47
15,WBNB/EAR,0xf0282b32cc09c6b46f223979df711d73d9402025
16,SUSHI/WBNB,0x96337674d5545f357ba353aaa6312d614dcf20cc
17,SHIRO/WBNB,0xfc37aab2b50810722191a7835882b214ead05dc3
18,WBNB/ULNT,0x4760d79967a397298ec9ff65cec5ee034ee63fef
19,WBNB/BUSD,0xdc558d64c29721d74c4456cfb4363a6e6660a9bb
20,WBNB/HUH,0x938282d4002f6e1a87325449a2e64096b2594494
21,ETH/WBNB,0x6da1ffd9d24e1753d2f46ca53146116c7210b3c5
22,STRM/BUSD,0xa7973cbf8f1693a1a8bb0ecd4b7d7d1026a0dcad
23,WHIRL/WBNB,0x5deea01e8e8677d4dd82c816bcd9e8dfe1f66fb5
24,ETH/HUH,0xa317b66b5a9eb1a9b42e04d6319450141c473cf8
25,USDC/WBNB,0xc7632b7b2d768bbb30a404e13e1de48d1439ec21
26,BTEC/WBNB,0xe5f12d6436b629c7ce1762bc407df7414dbcdfc7
27,PSR/BUSD,0x9da5d9736ef50803aefdad496e52bd74f414a487
28,GRIMACE/USDC,0x6d41ee92b1aa6e3523419514904849d665eae80d
29,WBNB/HASH,0xb17ebd66542070432654d5cd3491e0b4a86e0f63
30,GSTRM/BUSD,0x54b41b0666b216763e510e84748ed0e7e8e18b16
31,SUSHI/HASH,0xf5ff6da3738b399c4d29aa3ad87128ceb62b74ba
32,vsga.cc/WBNB,0x9056424066c2918a629439157e63ee09f013fa0c
33,$PAWS/WBNB,0x910216e31311c870f83ab0c17464c67958500a2e
34,SUSHI/BUSD,0xe0978ef5116084d8a667187f727447b2342cac53
35,STR/WBNB,0x92668470f7d8cad51c101fd896af2a6f8354f2c8
36,USDT/STAND,0x743f80ab068ca64b9d7b3a2fc61f435cd4580388
37,YUZU/USDT,0xb57bafd26b068d50cf3e63949e391824a7a56792
38,SUSHI/CORD,0xb545f71d7969d23388691f0ecd5d08f15780837b
39,ETH/BTCC,0x7430d9aac7ddf415fcd3ea5d3182d09e6a0e6a6e
40,fUSDT/WBNB,0x0e2410d85340b9706dfbe2680be3ad260b491a12
41,ETH/BTCB,0xc06949431e4e88cb50ad4df176dc409ab1c78fe2
42,WBNB/LUCHOW,0x0390c792056ea02aa09b94fb05e703ebd46f3ec3
43,LPK/WBNB,0xe636f3ebcf3f0a3936ef471b699d42345ad9ad1f
44,CMC/BUSD,0xab94d448947a21b2ea115d6924ee509aa7766d78
45,WBNB/REEF,0x22530cf86986ef15f0a59288d37cc8c50efe3123
46,USDC/SUSHI,0xeae7c1e40a165f3771f993508467213cfef2ea0b
47,USDT/BUSD,0x6eaec629b9cfa7acd507c50887c4851507da67e6
48,ADA/WBNB,0x9af6ca1ddd2057cf57d14cfe3e0ae14c21f7064f
49,ODT/USDC,0x940046bc48588856792efc93938f44b13f49a96e
50,ODT/BUSD,0x8b57c24c4de9f6a8b973f4b0e08908a5039a51b1
51,WBNB/MLTP,0x57dc98a8a77d21a87a2ddf9fedbb5eb95fedc6bf
52,POODL/USDT,0x56995f91210851ae4897b2426c215670c4380cc3
53,USDT/MOC,0xba984c51a6dd37dc794b31c42e88150c27270e63
54,FREE/WBNB,0xd665b1059601d1808b8106ce70e9a66addab1329
55,WBNB/rkl,0xb0d1a98c5213d60ab4932779eb695943fe1aeb51
56,USDT/USDC,0x18dd96c4accaff702106b0923f671538a5abe540
57,eQOM/WBNB,0xdc59e194c49a38350c7bde30df5ce0fcc9cedf3a
58,GCME/WBNB,0x8dfd7d8cfcadf35215e415ef040e258ed21e7519
59,WBNB/UNI,0x8c213a1479fc94d0f7af4c4e9129ba8e4b318352
60,SHWA/WBNB,0xc854ae5a6b6dd45c933e16435dfca62a391423ad
61,maml/WBNB,0xea123ca5e2924ec7f249175716368bf6c27f6b77
62,SPYX/WBNB,0x91fa1a248661642edad1fb8c210186539cade1f2
63,BW3/WBNB,0x77256bae59323fb7d217c7df15979cafdd93a8f3
64,CR7/WBNB,0xa8e2cd0d01964137c995fbb777114fb9812cdd7d
65,ETH/USDT,0x5af4859f62edb197887da2919ed185a89771826c
66,WNYC/WBNB,0xa6e93e55e40639f7337914f2fd09c7dcd81a1a6c
67,HOTCROSS/BUSD,0x1a126f39d78f43a4c1a2efafe63826dc0111825b
68,USDT/RJM-USD,0x05ee8f0360aaec1d4e2929a67f6aad827916d461
69,BTCBR/WBNB,0xd309c1fab3bdc9bbe1c2ff526ddd23440dd26568
70,WBNB/SafeMoonArmy,0x59d67bbb9c8f361618074fffe0f2ada3a4c6bd05
71,Cake/SUSHI,0xd03b21581a9147630dec4b3fd1c5457e73cfcea3
72,MGGP/WBNB,0x5f8f4f423c75b6c50d814c874ac7df55b2ddf3d6
73,MTB/WBNB,0xab076b0a0814b4321d24cae02585c8c12bfa5296
74,ETH/COMP,0xa1f844aefb58fcfc2d470d9e41b97177a61b0ba7
75,WBNB/ANK,0x897af2611da441dda6c6ec7e04a584799fe7d331
76,Cake/WBNB,0x70a164a8eccee2b7a1873af71efdfa82904f937d
77,PROOF/WBNB,0x3f3adec96372aa92775bcf089d2a155158782dd3
78,BUSD/SOURCE,0x5e9f4815d3f1ee2a6a3803fe6002252eac6a997c
79,DMN/BUSD,0x7bd4b87d5bce24aee65bdd99560cb334fea124b6
80,DAI/WBNB,0xe6cf29055e747e95c058f64423d984546540ede5
81,SUSHI/UNI,0x684c64a74d702010c67219f5315655e2077cb921
82,WBNB/TWITTER COIN,0x2fd864345bd5c7dd246d847105f707a7247de8cf
83,WBNB/BOBC,0xf072fee1b3c0d12f8033ef0f164273b14f181eca
84,ETH/HOTCROSS,0xdd83a57db5f97dc011ba7698a094bb76be487fbd
85,WBNB/COG,0x35e67a97edb22fbb2eb89e3a2cced4f29a4a7d70
86,WBNB/COIN,0x255f5ed481e75d061244d498de83405202f0a74c
87,KKK/WBNB,0xdd34b00936bed43a82811aabf902d5c066842990
88,BTCB/WBNB,0xa05eeeb2754117a9f9df75a3d5c0e742bc422b8c
89,ETH/SUSHI,0x3b133155af8bf98ddb5b649a6664fb9b092069a3
90,DOT/SUSHI,0xc87fb909b63499c0895a44d28f34b7e9f2027b38
91,Naruto/WBNB,0x160d46833132fe15cc7c2e9a03a122d9c19ed27f
92,ETH/ZCA,0x4292f61fbee3be750b165b56e8a81617a56f7b43
93,WBNB/TWITTER COIN,0x1af8a4f09450b0c1936ac48bf1d695e8cfa7dcae
94,WBNB/HRT,0xfa18b5b61a4f02abdc3e75c15107d359857c34ad
95,EKTA v2/WBNB,0x69844031653fcce61ca235fe5c71d672518f3e81
96,HOTCROSS/WBNB,0xdb9ff4dc796593ec728f9a30c66b89227ef8aa75
97,ICZ/WBNB,0x6185de16aa98dedb043ebab0073a4bcb1d365ed6
98,CDT/WBNB,0x36c06871c23029ef6afd7d81e30c258db62ceaa3
99,WBNB/GAC,0xd47b38cbbdab14d4f2e89ad7e778eaeb37a0d3f1
100,FBS/WBNB,0x6eb200073875c39cc8cebb1c1ce6471a7da49666
101,FONZI/WBNB,0x06d7486c3739b55adc1898207f3ea8360642656c
102,WBNB/QTM,0x9b46755e7dafaa889363687f11372fadb83879e8
103,IRON/USDC,0x3db199f3c8febad72027f0a15a0b8c1a9ab20f87
104,USHIBA/BUSD,0x1a4b2ff53c116fa991392995933bedffde8e3b20
105,USDT/FBS,0xd7d1be10838c5fe7a60db429e6f3edc6f82030e4
106,YMPA/BUSD,0xa0785f267516de53fefc0e3d0ea480e59ba8e313
107,POSH/WBNB,0x45a73b1fa8858ab524223059f7618ed49a8f63d8
108,MINU/WBNB,0x3ff5d79186dd67a3878a310ab663f5cc20a91f1c
109,WBNB/BIHS,0xbc4b5b997340b6c2b7206a59d6c9e48b84a1de04
110,DOT/WBNB,0x8bc543a03edd67eb454174417f55f020d6fab215
111,ICEB/WBNB,0x196aafb9e97c7886be7965c1f5eca2ae905f68a8
112,TTA/WBNB,0x6962fff412649d6a4ab6b00b9f02e4579f34cebf
113,Cake/WBNB,0x2b84009d37001bc8d41738abb4fe650bbe62e2b1
114,CDS/WBNB,0x29a68023b7887115470c9b9305ca71af62bf8982
115,Helgi/WBNB,0xe8bc1e86b208abb9a977dc79187a69e7620b14db
116,USDT/ALIENO,0xff68a322b16d1e6917f9523f5dc5de608e2661fc
117,fUSDT/BUSD,0x8d11af0fe6f13473cb6deba324d0dc4f6fe55bfb
118,KITTY/WBNB,0x7639067e6bfe0f6d3650bffacd97346ce304fecc
119,WBNB/LFI,0x6c7d2d3ca1d38a16303ff6ab5d3644660ec580c1
120,FMC/WBNB,0xa97e1806ff52573f632f8e5f222a36a7ca1a2799
121,GUEDDY/BUSD,0x25d480711e5ec57a78137f82da95e301f0a164bf
122,CTK/WBNB,0xaf6642391960814369ba855e347f133bf608e97b
123,MOOND/BUSD,0x5e073e9c3425edaaf2c2679f7abd453e2e8ffa1f
124,WBNB/IRON,0x629dff265ca025de86e085cdf1e948899694b45d
125,WBNB/SONE,0x8d5179c570f0b7647e9957469cab31973560e034
126,WBNB/MDT,0x4dd0a4d2726eae914b37f299496570c968ab3915
127,USDT/SZKN2,0xe62769a1866246fab6cfc7c13617b94123ae923f
128,SMALL/WBNB,0x9ecdf7c218cd5ec8dd94ae05f975b2997cb1cd43
129,WBNB/GAL,0xbe228bff606b0eb9891000dcfb50279a0e25e164
130,iBX/BUSD,0x0039b5e58b9f4e3083199e306f8c29e86c01904d
131,WBNB/CCASH,0x68bee34c2ae23d2c84342c8fc31850d7bd410d18
132,VUSD/WBNB,0x183b94f8bd95e21ea5a1fd0a2d08d55aec97e517
133,DENCH/BUSD,0x612a38667934ca340f13903d5c92939ee5bd5e04
134,CPT/BUSD,0x865e155c91618894465d491349d7cbd7982530c4
