,POOL_NAME,POOL_ADDRESS
0,USDC.e/WAVAX,0xea103255F79e1A801B3D60Be10282cF4CF18a317
1,WAVAX/WBTC,0x0d94A1B1Feb81F0f57DcB1974fA9Ad74494C20cd
2,MIM/WAVAX,0x3aA5780CD912CD600fE4f2c4Ea8d4DfEb16579d1
3,SUSHI/WAVAX,0xd3BAF39Da02C2d20c43BE49Bc870DF0cb14FD397
4,WAVAX/USDT.e,0x026Ea65eD519c7e48dE14374506B2439AE4F7Ff3
5,MIM/SPELL,0xeefc9109A82fEEEdc3B5889D62f408DfF564eB06
6,WAVAX/USDC.e,0x8e704666Fb4d759A4a4eEbF6a4CBaD8d89A2586d
7,xJOE/MIM,0xc1356023888a86cC1355C2b151aF71CE5deCD253
8,DAI/WAVAX,0x685B570CFA3bF4889ce077f70b8a33a9b1C2E2c8
9,WAVAX/WETH,0x45ecaBC5e035095B7A4BBD8A86953ff6b83ff70A
10,SPELL/WAVAX,0x6a1c850C407892fBC9822d70d73a14E80419a5B3
11,WAVAX/WAVAX,0x97b785141274b71FDa92e702688981e449349114
12,SUSHI/MIM,0xc777A2810E5d7d53aF6587Fe7dAeB14B18b3e0FC
13,WAVAX/DAI,0xF33E495B97f2974a28EF4327De5f45FDc5A25A19
14,USDC.e/DAI,0xB6F0bd4292Da8e9821EA381948De370B7F9742E2
15,USDT.e/WETH,0x340C2cA1E7f32B08974542aF39630208464e8669
16,USDT.e/WBTC,0xE96B77D468E506B39DBae36B19af699688715Ce3
17,WETH/WAVAX,0x03bEC481665bF43033eDE87aC0639fdcd6189E4c
18,WAVAX/SUSHI,0xD436e9D472B588baAb31191b28435938AEA34240
19,WAVAX/MIM,0xeEe3e61EFCd18C364729E067334d595dF58176ad
20,WAVAX/SPELL,0xF900E2a5696C8331f009EBf267F8C0550b10504c
21,MIM/SUSHI,0xe0572Dd4c6ce9adBf49F126CDC47f40c28b485e4
22,MIM/xJOE,0x17E0A9f251AAc01af4f99144CC39892B1DBd2BF8
23,USDT.e/DAI,0x2AE95EE74A2F3d873318473dB23FD96BC60655F2
24,USDC.e/WETH,0x48aC6A090176A7538349b714b8101E32B9dd4E47
25,xJOE/SUSHI,0x65d865b5280163eBF0E4928796F47EaeE89A96d9
26,USDC.e/USDT.e,0x84336C6E521368691a244c88fd4743eFab6Fd582
27,USDT.e/WAVAX,0x94415A25De78AFf66A8A412d9eE0802c87a380B7
28,USDT.e/MIM,0xb884d145FB02D3eF666C3b22d46b08Db3500CF98
29,DAI/AAVE,0xBA1d5eB364907DE7F96282A61642B53738174D38
30,WBTC/WAVAX,0xd6ddc1c6Ef3af255CfE298d71E5bB5Fcb0267411
31,DAI/MIM,0xf2480801293f42810E0ffa59a3ad3A8352C01C61
32,AAVE/WAVAX,0x15166030894dc4A6eff405560a5D8c998FC521bc
33,LINK/WAVAX,0x3878d0CBf27Cc1187B0Cf920A17cF252f08c981c
34,LINK/WETH,0x74590122C057e55c3891D21484b1Fc624b0965aF
35,LINK/USDC.e,0x795167fB9872FdA4d552e3Ef8945C8ecaA0144c2
36,AAVE/WETH,0x9dD167c381b890d1E0Cc5A2c0b5FAA57136b44E5
37,JOE/WAVAX,0xc7F767328F05F95a6dBcFF939509D68121Cf203e
