,PAIR_NAME,PAIR_ADDRESS,ASSET_NAME,COLLATERAL_NAME,ASSET_ADDRESS,COLLATERAL_ADDRESS,ASSET_DECIMALS,COLLATERAL_DECIMALS
0,USDC.e/WAVAX,0xea103255F79e1A801B3D60Be10282cF4CF18a317,USDC.e,WAVAX,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,6,18
1,WAVAX/WBTC,0x0d94A1B1Feb81F0f57DcB1974fA9Ad74494C20cd,WAVAX,WBTC,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0x408d4cd0adb7cebd1f1a1c33a0ba2098e1295bab,18,8
2,MIM/WAVAX,0x3aA5780CD912CD600fE4f2c4Ea8d4DfEb16579d1,MIM,WAVAX,0x130966628846bfd36ff31a822705796e8cb8c18d,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18
3,SUSHI/WAVAX,0xd3BAF39Da02C2d20c43BE49Bc870DF0cb14FD397,SUSHI,WAVAX,0x39cf1bd5f15fb22ec3d9ff86b0727afc203427cc,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18
4,WAVAX/USDT.e,0x026Ea65eD519c7e48dE14374506B2439AE4F7Ff3,WAVAX,USDT.e,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0xc7198437980c041c805a1edcba50c1ce5db95118,18,6
5,MIM/SPELL,0xeefc9109A82fEEEdc3B5889D62f408DfF564eB06,MIM,SPELL,0x130966628846bfd36ff31a822705796e8cb8c18d,0xce1bffbd5374dac86a2893119683f4911a2f7814,18,18
6,WAVAX/USDC.e,0x8e704666Fb4d759A4a4eEbF6a4CBaD8d89A2586d,WAVAX,USDC.e,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,18,6
7,xJOE/MIM,0xc1356023888a86cC1355C2b151aF71CE5deCD253,xJOE,MIM,0x57319d41f71e81f3c65f2a47ca4e001ebafd4f33,0x130966628846bfd36ff31a822705796e8cb8c18d,18,18
8,DAI/WAVAX,0x685B570CFA3bF4889ce077f70b8a33a9b1C2E2c8,DAI,WAVAX,0xba7deebbfc5fa1100fb055a87773e1e99cd3507a,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18
9,WAVAX/WETH,0x45ecaBC5e035095B7A4BBD8A86953ff6b83ff70A,WAVAX,WETH,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,18,18
10,SPELL/WAVAX,0x6a1c850C407892fBC9822d70d73a14E80419a5B3,SPELL,WAVAX,0xce1bffbd5374dac86a2893119683f4911a2f7814,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18
11,WAVAX/WAVAX,0x97b785141274b71FDa92e702688981e449349114,WAVAX,WAVAX,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18,18
12,SUSHI/MIM,0xc777A2810E5d7d53aF6587Fe7dAeB14B18b3e0FC,SUSHI,MIM,0x39cf1bd5f15fb22ec3d9ff86b0727afc203427cc,0x130966628846bfd36ff31a822705796e8cb8c18d,18,18
